Ticker,Drawdown Start,Recovery Start,Recovery Days
AON,2018-06-29,2018-07-17,18
AON,2020-04-14,2020-08-27,135
AON,2022-06-14,2022-12-08,177
AOP,2011-02-25,2012-09-04,557
AOP,2013-07-01,2014-07-17,381
AOP,2015-12-08,2017-01-03,392
APA,2010-10-18,2010-11-03,16
APA,2011-08-11,2012-03-14,216
APA,2012-05-15,2013-06-25,406
APA,2014-02-13,2014-05-23,99
APA,2014-10-31,2016-04-14,531
APA,2017-03-14,2018-06-13,456
APA,2018-11-29,2020-01-29,426
APA,2020-03-23,2020-12-23,275
APA,2021-09-14,2021-10-01,17
APA,2022-08-24,2022-10-14,51
APA,2023-03-27,2023-08-30,156
APD,2011-08-24,2012-02-07,167
APD,2012-06-12,2013-01-08,210
APD,2015-07-20,2016-04-05,260
APD,2017-04-12,2017-05-22,40
APD,2018-07-25,2018-09-14,51
APD,2018-11-26,2019-02-14,80
APD,2020-04-03,2020-06-09,67
APD,2021-02-18,2021-05-10,81
APD,2021-09-17,2021-11-15,59
APD,2022-02-18,2022-09-26,220
APD,2023-11-17,2024-06-28,224
APG,2022-03-14,2022-12-16,277
APH,2011-07-13,2012-02-09,211
APH,2015-08-26,2016-04-01,219
APH,2018-05-23,2018-07-09,47
APH,2018-11-26,2019-03-18,112
APH,2019-09-16,2019-10-28,42
APH,2020-03-23,2020-07-21,120
APH,2022-03-28,2022-09-21,177
APH,2022-10-28,2022-11-10,13
APT,2010-10-18,2012-01-06,445
APT,2012-09-26,2012-10-04,8
APT,2012-10-10,2012-10-11,1
APT,2013-09-09,2013-11-21,73
APT,2015-01-22,2016-05-12,476
APT,2017-03-23,2017-08-09,139
APT,2018-03-26,2018-10-04,192
APT,2019-05-02,2020-01-27,270
APT,2020-11-20,2023-08-30,1013
APW,2011-09-01,2012-01-05,126
APW,2012-09-25,2013-07-30,308
APW,2013-08-08,2015-02-13,554
APX,2011-03-10,2011-05-23,74
APX,2011-06-08,2011-07-22,44
APX,2011-12-14,2012-02-09,57
APX,2012-07-02,2012-07-05,3
APX,2012-07-16,2012-07-25,9
APX,2012-08-03,2012-08-06,3
APX,2012-08-09,2012-08-15,6
APX,2012-08-29,2014-01-16,505
APX,2014-05-22,2014-07-07,46
APX,2014-10-27,2015-09-30,338
APX,2016-02-03,2016-02-18,15
APX,2016-12-22,2016-12-30,8
APX,2017-01-03,2017-01-04,1
APX,2017-01-25,2017-03-01,35
APX,2017-03-09,2017-09-20,195
